Country Code,Country Name,Region,IncomeGroup,student_pool_2026,student_pool_2035,student_pool_2050,student_pool_growth_2026_2050_pct,gdp_pc_ppp,gdp_growth,trade_gdp,services_share,tertiary_enrollment,internet_users,urban_share,gov_effectiveness,reg_quality,rule_of_law,pol_stability,target_tuition_usd,standard_capex_usd_mn,standard_capex_rub_mn,standard_opex_usd_mn,standard_opex_rub_mn,standard_breakeven_students,data_coverage_pct
URY,Uruguay,Latin America & Caribbean,High income,584607.1782787191,561190.2932800434,542787.0191017508,-7.153548695741463,32038.772728822725,3.108254780661724,52.46491678563794,65.26274361978174,79.9536903496537,91.99109007,95.5981951588181,5.951747953891754,4.725777387619022,5.023638010025025,6.754209995269774,5766.97909118809,6.2040249763952815,455.02552625874495,1.6003199916072113,117.37322933644263,277.0,100.0
BLR,Belarus,Europe & Central Asia,Upper middle income,1095651.2789412525,941730.3690043197,832808.4227239259,-23.989645361553013,29040.97257904249,4.009848524654515,131.91792910244993,49.6802343028905,70.1107509145358,94.26182128,79.1551015210848,-6.9402602314949045,-9.93673443794248,-8.75659894943239,-5.105559527873994,5227.375064227648,4.383867856933686,321.5286505518015,0.953153015798644,69.90767352952943,182.0,100.0
PAN,Panama,Latin America & Caribbean,High income,892979.5474421681,955396.3552947866,1009768.5622512966,13.07857667554162,36394.91752911465,2.7478854554691594,83.6737787798304,69.34266277723722,53.6949637061742,72.77149963,65.9958447685488,-1.468045115470885,0.831479728221891,-2.4218684732914,1.491712942719461,6551.0851552406375,5.334280599740607,391.2353425951352,1.2910775465744384,94.69227514493696,197.0,100.0
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,12991970.368640916,13079650.643934185,13151743.70735923,1.2297852764809658,13597.653849599776,0.534843531905139,61.64677047302495,62.99218075460045,23.493768799339,78.35759735,63.6917984858172,-1.7986267805099514,-1.5658856183290462,0.603645585477352,-4.659494161605836,3000.0,5.074662109715575,372.19398791013526,1.1987687501210933,87.92201570138141,400.0,100.0
SEN,Senegal,Sub-Saharan Africa,Lower middle income,4785318.92796592,6060022.089515711,7363290.278640676,53.87250859308068,4460.923721763184,6.060551411989763,68.14051476562113,48.40904299438117,15.3302400879779,60.11780167,55.2368169057304,0.4877263456583022,-2.4155563712120047,-1.9154299795627567,-0.9701396524906172,3000.0,4.823661072454235,353.78466823365443,1.1095239368726169,81.37647981641045,370.0,100.0
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,58885333.009726495,74365192.08719678,90150414.41551502,53.09485368898952,7994.215638614593,4.062364088883186,26.166512865529874,53.72956173652699,9.74153350922586,41.21139908,62.9755675573659,-5.935346961021423,-6.558056056499479,-6.213825047016146,-12.3790683746338,3000.0,4.375,320.87825,0.95,69.67642,317.0,100.0
AGO,Angola,Sub-Saharan Africa,Lower middle income,8994537.652858742,11842195.892231174,14863293.244305411,65.24799626116857,8901.887366115625,4.423906644068751,50.84223055620905,41.05518599093585,9.9549065722902,40.70479965,70.6551379036435,-7.062367081642181,-5.329717278480532,-7.69346213340761,-2.39053535461426,3000.0,4.435581439249823,325.3215108477633,0.971540067288826,71.25624607920474,324.0,100.0
CRI,Costa Rica,Latin America & Caribbean,High income,907046.6838708688,854983.3916425959,814768.9381531283,-10.173428485945225,26973.436158071898,4.321224296461452,71.33101376876166,68.78334621390864,55.0202903747559,87.17019653,79.3107672397967,1.8213753402233128,3.8048329949378976,2.7252165377140063,6.889307796955108,4855.218508452941,5.938874629813856,435.5784452992155,1.5060443128227046,110.45871166194333,310.0,100.0
CIV,Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,7574924.875830854,9385586.33343632,11198819.931225648,47.84067320532084,6747.037967773879,6.019534619400616,51.26403794091189,51.85812090743068,12.3354902267456,41.43219902,53.9733113940142,-2.516584217548373,-0.812569655478,-3.228379964828494,-4.422517359256745,3000.0,4.85061932119008,355.76188324563674,1.119109091978695,82.0794895984486,373.0,100.0
SRB,Serbia,Europe & Central Asia,Upper middle income,814849.4283641899,714704.4534779184,642461.8371552235,-21.15576021879705,26900.853091322973,3.9499262259293175,111.72502838891629,58.78323171706553,70.582649230957,87.69071294,62.3830029804177,0.0534402322955429,0.965409904718399,-0.5215314105153083,-0.2737679481506347,4842.153556438135,5.124881186330762,375.8772357777688,1.2166244218064932,89.23161494320671,251.0,100.0
VEN,"Venezuela, RB",Latin America & Caribbean,,5858386.8685923545,5819697.836494943,5788287.339314492,-1.1965670900581316,23134.759094596546,5.299999999999841,26.08116575964987,38.636645244606136,78.2699203491211,76.67890167,89.285859883201,-11.194406747818,-14.183732509613034,-15.060735225677467,-8.32319617271422,4164.256637027377,6.062678444908856,444.6586627920172,1.5500634470787047,113.68723343716168,372.0,93.33333333333331
