origin_iso3,origin_country,region,origin_lat,origin_lon,destination_city,destination_lat,destination_lon,flow_type,modelled_potential_index,stroke_width,SAI_MGIMO_V3_SCORE,rank_practical_student_recruitment,student_recruitment_status,due_diligence_warnings,source,year
LBY,Libya,Middle East & North Africa,26.638944,18.011015,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,58.40715297331817,2.022568094872977,58.80744580525983,72,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
VEN,"Venezuela, RB",Latin America & Caribbean,7.182476,-64.599381,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,63.584481416585994,2.1442353132897707,58.70548349779862,73,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
DOM,Dominican Republic,Latin America & Caribbean,19.104137,-70.653998,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,59.81004208849097,2.0555359890795377,58.54967003897246,74,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
SLE,Sierra Leone,Sub-Saharan Africa,8.617449,-11.763677,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,59.4060982930978,2.046043309887798,58.43873783853953,75,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
CHL,Chile,Latin America & Caribbean,-38.151771,-72.318871,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,60.71644819402271,2.076836532559534,58.36937561013145,76,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
GMB,"Gambia, The",Sub-Saharan Africa,13.641721,-14.998318,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,54.75550828467539,1.9367544446898717,58.13939467216896,77,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
KHM,Cambodia,East Asia & Pacific,12.647584,104.50487,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,60.93215255884257,2.0819055851328003,57.731691575673594,78,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
AZE,Azerbaijan,Europe & Central Asia,40.402387,47.210994,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,57.882167830198625,2.0102309440096677,57.60055040313408,79,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
PAN,Panama,Latin America & Caribbean,8.72198,-80.352106,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,55.07145367516431,1.9441791613663613,57.22886766423547,80,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
MMR,Myanmar,East Asia & Pacific,21.573855,95.804497,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,64.62548057346528,2.168698793476434,57.12131240277243,81,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
HND,Honduras,Latin America & Caribbean,14.794801,-86.887604,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,59.014093281823364,2.036831192122849,56.97180232951352,82,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
KGZ,Kyrgyz Republic,Europe & Central Asia,41.66854,74.532637,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,56.556596103006804,1.97908000842066,56.87596013605104,83,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
ERI,Eritrea,Sub-Saharan Africa,15.787401,38.285566,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,55.0301674052983,1.94320893402451,56.73293729388368,84,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
LBR,Liberia,Sub-Saharan Africa,6.447177,-9.460379,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,56.13561116855891,1.9691868624611346,56.14202600322755,85,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
BHR,Bahrain,Middle East & North Africa,26.055972,50.554816,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,49.01227394465468,1.801788437699385,55.80431512851591,86,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
TUN,Tunisia,Middle East & North Africa,33.687263,9.007881,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,57.16153371116876,1.993296042212466,55.631026577097764,87,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
TJK,Tajikistan,Europe & Central Asia,38.199835,72.587276,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,57.25615795570147,1.9955197119589845,55.38358072226755,88,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
SYC,Seychelles,Sub-Saharan Africa,-4.676659,55.480175,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,39.83272720221472,1.586069089252046,55.32323222529823,89,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
LAO,Lao PDR,East Asia & Pacific,19.431821,102.533912,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,56.33341994116162,1.9738353686172982,55.270300593337105,90,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
CAF,Central African Republic,Sub-Saharan Africa,6.989681,20.906897,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,55.46416631455471,1.9534079083920357,55.09474971092685,91,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
SUR,Suriname,Latin America & Caribbean,4.143987,-55.91094,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,46.2922075703256,1.7378668779026518,55.09356494252049,92,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
SWZ,Eswatini,Sub-Saharan Africa,-26.533676,31.467264,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,49.18135789575601,1.8057619105502662,54.733585886646495,93,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
TTO,Trinidad and Tobago,Latin America & Caribbean,10.9989,-60.9184,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,48.09069471752295,1.7801313258617895,54.684645795073784,94,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
